,Composition,Shear modulus,Fracture toughness
0,Be5.5 Ti10.5 Mo10.5 Cr10.5 Fe10.5 Co10.5 Ni10.5 Cu10.5 Al10.5 Si10.5,58.82550048828125,10.604205131530762
1,Cr14.3 Fe14.3 Co14.3 Ni14.3 Al42.8,54.49919891357422,9.250584602355957
2,Cr1 Mn1 Fe1 Co1 Ni1,75.5199966430664,11.330023765563965
3,Cr20 Mn20 Fe20 Co20 Ni21,75.50099182128906,11.299732208251953
4,Cr10 Mn10 Fe10 Co10 Ni11,75.48235321044922,11.269973754882812
5,Cr16.7 Fe16.7 Ni33.2 Cu16.7 Al16.7,62.01020050048828,10.511021614074707
6,Cr16.7 Fe16.7 Ni33.2 Cu16.8 Al16.7,61.99370574951172,10.505827903747559
7,Ti5.9 Cr29.4 Fe29.4 Ni29.4 Al5.9,70.37889862060547,13.720352172851562
8,Cr21 Fe20 Co20 Ni21 Al18,66.49800109863281,11.666669845581055
9,Cr22.25 Fe20 Co20 Ni22.25 Al15.5,67.64550018310547,11.962560653686523
10,Cr23.5 Fe20 Co20 Ni23.5 Al13,68.79299926757812,11.624482154846191
11,Cr1 Co1 Ni1,73.33333587646484,13.161770820617676
12,Ta1 Nb1 W1 Mo1,74.07499694824219,17.47840690612793
13,Zr1 Ti1 Ta1 Nb1,49.57500076293945,7.042868137359619
14,Zr23.75 Ti23.75 Ta23.75 Nb23.75 Mo5,48.08124923706055,7.814815044403076
15,Zr22.5 Ti22.5 Ta22.5 Nb22.5 Mo10,46.587501525878906,8.57677936553955
16,Zr1 Ti1 Ta1 Nb1 Mo1,43.599998474121094,10.0763521194458
17,V2 Cr2 Fe9 Co4 Ni3,75.0999984741211,10.8667573928833
18,Ti1 Ta1 Nb1 V1,54.900001525878906,8.651350021362305
19,Be22.5 Zr41.2 Ti13.8 Ni10 Cu12.5,61.46390151977539,4.831792831420898
20,W97.13 Fe0.86 Ni2.01,146.90138244628906,26.499738693237305
21,W92.5 Fe2.19 Ni5.33,143.49746704101562,25.737699508666992
22,W90 Fe2.95 Ni6.78,141.8685302734375,25.375852584838867
23,W95 Fe1.49 Ni3.48,145.36477661132812,26.156816482543945
24,Hf4 Ti26 Nb51 Cr2 Al2 Si15,52.10100173950195,7.357533931732178
25,Ti27 Nb41 Cr8 Al9 Si15,51.540000915527344,8.023934364318848
26,Nb83.5 Si16.5,59.08150100708008,8.401145935058594
27,Nb9 Si1,59.0099983215332,8.508627891540527
28,Ti42.5 Nb42.5 Si15,50.182498931884766,6.613236904144287
29,Ti8 Nb8 Al1 Si3,49.095001220703125,6.463534832000732
30,Mo1 Fe1 Co1 Ni1,62.32500076293945,13.011443138122559
31,Ni1 Al1,50.150001525878906,5.77375602722168
32,Mo1 Si1,39.849998474121094,14.194812774658203
33,Cr23 Fe15 Co15 Ni15 Cu8 Al23,61.30202102661133,11.261674880981445
34,Cr1 Fe1 Ni2 Cu1 Al1,62.03333282470703,10.506891250610352
35,Ti0.2 Cr1 Fe1 Ni1 Al0.2,70.39411926269531,13.724098205566406
36,Ti1 Mo1 Cr1 Fe1 Co1 Ni1 Cu1 Al1 Si1,54.56666564941406,10.606526374816895
37,Zr61 Ti2 Cu25 Al12,35.2859992980957,3.217940092086792
38,Ti0.5 Cr1 Fe1 Co1 Ni1 Al0.25,68.81578826904297,11.86938762664795
39,Nb5 Si3,59.3125,8.042730331420898
40,Ti40 Nb1 Al5 Si15,42.826229095458984,4.530306816101074
41,W1 Si2,89.66666412353516,13.664974212646484
42,Nb1 Mo1,39.29999923706055,15.302562713623047
43,Nb90.85 Al9.15,55.95370101928711,8.221565246582031
44,Nb67.9 Cr32.1,62.97669982910156,13.179076194763184
45,Ta2 Cr23,71.36799621582031,20.8681697845459
46,Ta9.8 Cr90.2,71.31580352783203,20.707231521606445
47,Ta11 Cr89,71.28099822998047,20.599660873413086
48,Hf7.5 Ti21 Nb1 Si16,44.94285583496094,4.905080795288086
49,Hf10 Ti21 Nb1 Si16,44.18541717529297,4.814551830291748
50,Hf12.5 Ti21 Nb1 Si16,43.50297164916992,4.732574939727783
51,Ti21 Nb1 Si16,47.81315612792969,5.243947982788086
52,Hf7.5 Ti33 Nb1 Si16,43.49391174316406,4.608872890472412
53,Hf10 Ti33 Nb1 Si16,42.948333740234375,4.547155857086182
54,Hf12.5 Ti33 Nb1 Si16,42.4463996887207,4.490182876586914
55,Ti33 Nb1 Si16,45.45800018310547,4.829317092895508
56,Ti22 Nb57 Mo5 Si16,52.518001556396484,8.200974464416504
57,Ti11 Nb26 Mo5 Si8,50.55799865722656,8.864622116088867
58,Ti22 Nb47 Mo15 Si16,48.597999572753906,9.522139549255371
59,Ti11 Nb21 Mo10 Si8,46.63800048828125,10.173702239990234
60,Ta1 Nb1 W1 Mo1,74.07499694824219,17.47840690612793
61,Ta1 Nb1 V1 W1 Mo1,70.05999755859375,15.925976753234863
62,Hf1 Zr1 Ti1 Ta1 Nb1,45.7400016784668,6.306204795837402
63,Zr1 Ti1 Ta0.5 Nb1 Mo0.5 Cr1,49.08000183105469,11.287700653076172
64,Zr1 Ti1 Nb1 V1 Mo1,40.65999984741211,9.641927719116211
65,Zr1 Ti1 Nb1 Mo1,37.32500076293945,9.647043228149414
66,Zr1 Ti1 Nb1 V0.25 Mo1,38.30588150024414,9.646806716918945
67,Zr1 Ti1 Nb1 V0.5 Mo1,39.17777633666992,9.645711898803711
68,Zr1 Ti1 Nb1 V0.75 Mo1,39.95789337158203,9.644024848937988
69,Zr1 Ti1 Nb1 V1.25 Mo1,41.29523849487305,9.639559745788574
70,Zr1 Ti1 Nb1 V1.5 Mo1,41.87272644042969,9.637007713317871
71,Ti1 Ta1 Nb1 V1,54.900001525878906,8.651350021362305
72,Ti1 Ta1 Nb1 V1 Al0.25,53.24117660522461,8.354496002197266
73,Ti1 Ta1 Nb1 V1 Al0.5,51.766666412353516,8.090600967407227
74,Ti1 Ta1 Nb1 V1 Al1,49.2599983215332,7.641880989074707
75,Zr1 Ti1 Nb1 V2 Mo1,42.88333511352539,9.631647109985352
